x,y,Wave_Power,Bathymetry,Distance_to_Shore,Chlorophyll,Salinity
59.93,24.830000000000002,3,4,3.0,2.0,2.0
60.43,24.830000000000002,4,4,3.0,2.0,2.0
60.93,24.830000000000002,4,4,3.0,2.0,1.0
61.43,24.830000000000002,5,4,3.0,2.0,1.0
61.93,24.830000000000002,5,4,3.0,2.0,1.0
62.43,24.830000000000002,5,4,3.0,2.0,1.0
62.93,24.830000000000002,5,4,3.0,2.0,1.0
63.43,24.830000000000002,5,4,3.0,2.0,1.0
63.93,24.830000000000002,5,4,3.0,2.0,1.0
64.43,24.830000000000002,5,4,3.0,2.0,1.0
64.93,24.830000000000002,5,4,3.0,3.0,1.0
65.43,24.830000000000002,5,4,3.0,4.0,1.0
65.93,24.830000000000002,5,3,3.0,4.0,2.0
66.43,24.830000000000002,5,3,3.0,4.0,3.0
66.93,24.830000000000002,5,3,127.0,5.0,1.0
67.43,24.830000000000002,127,3,127.0,5.0,5.0
67.93,24.830000000000002,127,3,127.0,5.0,127.0
68.43,24.830000000000002,127,3,127.0,5.0,127.0
68.93,24.830000000000002,127,3,127.0,5.0,127.0
69.43,24.830000000000002,127,3,127.0,5.0,127.0
69.93,24.830000000000002,127,255,127.0,5.0,127.0
70.43,24.830000000000002,127,255,127.0,5.0,127.0
70.93,24.830000000000002,127,255,127.0,5.0,127.0
71.43,24.830000000000002,127,255,127.0,5.0,127.0
71.93,24.830000000000002,127,255,127.0,5.0,127.0
72.43,24.830000000000002,127,255,127.0,5.0,127.0
72.93,24.830000000000002,127,255,127.0,5.0,127.0
73.43,24.830000000000002,127,255,127.0,5.0,127.0
73.93,24.830000000000002,127,255,127.0,5.0,127.0
74.43,24.830000000000002,127,255,127.0,5.0,127.0
74.93,24.830000000000002,127,255,127.0,5.0,5.0
75.43,24.830000000000002,127,255,127.0,5.0,127.0
75.93,24.830000000000002,127,255,127.0,5.0,127.0
76.43,24.830000000000002,127,255,127.0,5.0,127.0
76.93,24.830000000000002,127,255,127.0,5.0,127.0
77.43,24.830000000000002,127,255,127.0,5.0,127.0
77.93,24.830000000000002,127,255,127.0,5.0,5.0
78.43,24.830000000000002,127,255,127.0,5.0,127.0
78.93,24.830000000000002,127,255,127.0,5.0,127.0
79.43,24.830000000000002,127,255,127.0,5.0,127.0
79.93,24.830000000000002,127,255,127.0,5.0,127.0
80.43,24.830000000000002,127,255,127.0,5.0,127.0
80.93,24.830000000000002,127,255,127.0,5.0,127.0
81.43,24.830000000000002,127,255,127.0,5.0,127.0
81.93,24.830000000000002,127,255,127.0,5.0,127.0
82.43,24.830000000000002,127,255,127.0,5.0,127.0
82.93,24.830000000000002,127,255,127.0,5.0,127.0
83.43,24.830000000000002,127,255,127.0,5.0,127.0
83.93,24.830000000000002,127,255,127.0,5.0,127.0
84.43,24.830000000000002,127,255,127.0,5.0,127.0
84.93,24.830000000000002,127,255,127.0,5.0,127.0
85.43,24.830000000000002,127,255,127.0,5.0,127.0
85.93,24.830000000000002,127,255,127.0,5.0,127.0
86.43,24.830000000000002,127,255,127.0,5.0,127.0
86.93,24.830000000000002,127,255,127.0,5.0,127.0
87.43,24.830000000000002,127,255,127.0,5.0,127.0
87.93,24.830000000000002,127,255,127.0,5.0,127.0
